Paises,IDH
'Somalia',0.380
'Sudan del Sur',0.381
'Republica Centroafricana',0.387
'Chad',0.394
'Niger',0.394
'Mali',0.410
'Burundi',0.420
'Yemen',0.424
'Burkina Faso',0.438
'Sierra Leona',0.458
'Mozambique',0.461
'Afganistan',0.462
'Guinea',0.471
'Republica Democratica del Congo',0.481
'Guinea-Bisau',0.483
'Madagascar',0.487
'Liberia',0.487
'Etiopia',0.492
'Eritrea',0.493
'Gambia',0.495
'Benin',0.504
'Malawi',0.508
'Yibuti',0.515
'Sudan',0.516
'Senegal',0.517
'Lesoto,0.521
'Tanzania',0.532
'Costa de Marfil',0.534
'Mauritania',0.540
'Pakistan',0.540
'Togo',0.547
'Nigeria',0.548
'Ruanda',0.548
'Zimbabwe',0.550
'Uganda',0.550
'Haiti',0.552
'Siria',0.557
'Islas Salomon',0.562
'Timor Oriental',0.566
'Papua Nueva Guinea',0.568
'Zambia',0.569
'Comoras',0.586
'Camerun,0.587
'Angola',0.591
'Republica del Congo',0.593
'Camboya',0.600
'Kenia',0.601
'Kepal',0.601
'Ghana',0.602
'Myanmar',0.608
'Namibia',0.610
'Eswatini',0.610
'Santo Tome y Principe',0.613
'Vanuatu',0.614
'Laos',0.620
'Honduras',0.624
'Kiribati',0.628
'Guatemala',0.629
'Estados Federados de Micronesia',0.634
'India',0.644
'Guinea Ecuatorial',0.650
'Tuvalu',0.653
'Cabo Verde',0.661
'Nicaragua',0.669
'Bangladesh',0.670
'Irak',0.673
'El Salvador',0.674
'Tayikistan',0.679
'Butan',0.681
'Surinam',0.690
'Gabon',0.693
'Nauru',0.696
'Bolivia',0.698
'Marruecos',0.698
'Venezuela',0.699
'Cuba',0.764
'Macedonia del Norte',0.765
'Ecuador',0.765
'Republica Dominicada',0.766
'San Vicente y las Granadinas',0.772
'Bosnia y Herzagovina',0.779
'Alemania',0.950
'Irlanda',0.950
'Suecia',0.952
'Dinamarca',0.952
'Noruega',0.966
'Suiza',0.967