Paises,Esperanza de Vida
'Somalia',56.11
'Sudan del Sur',56
'Republica Centroafricana',54.48
'Chad',53
'Niger',61.58
'Mali',59.42
'Burundi',62.37
'Yemen',66.36
'Burkina Faso',62.57
'Sierra Leona',55.55
'Mozambique',61.71
'Afganistan',65.63
'Guinea',62.32
'Republica Democratica del Congo',59.74
'Guinea-Bisau',59.86
'Madagascar',67.87
'Liberia',64.72
'Etiopia',67.44
'Eritrea',67.13
'Gambia',62.92
'Benin',62.53
'Malawi',65.18
'Yibuti',62.86
'Sudan',65.86
'Senegal',68.59
'Lesoto,55.22
'Tanzania',66.08
'Costa de Marfil',60
'Mauritania',65.38
'Pakistan',67.64
'Togo',61.81
'Nigeria',55.44
'Ruanda',67.13
'Zimbabwe',61.89
'Uganda',64.06
'Haiti',64.70
'Siria',75.11
'Islas Salomon',70.74
'Timor Oriental',67.50
'Papua Nueva Guinea',65.96
'Zambia',61.8
'Comoras',63.68
'Camerun,60.96
'Angola',61.93
'Republica del Congo',63.05
'Camboya',69.9
'Kenia',62.06
'Nepal',71.45
'Ghana',63.95
'Myanmar',67.26
'Namibia',58.06
'Eswatini',56.36
'Santo Tome y Principe',68.79
'Vanuatu',70.84
'Laos',69
'Honduras',75.69
'Kiribati',68.93
'Guatemala',74.83
'Estados Federados de Micronesia',70.93
'India',67.24
'Guinea Ecuatorial',60.59
'Tuvalu',64.55
'Cabo Verde',74.05
'Nicaragua',73.84
'Bangladesh',72.38
'Irak',70.94
'El Salvador',73.85
'Tayikistan',71.56
'Butan',72.47
'Surinam',72
'Gabon',66.84
'Nauru',64.01
'Bolivia',72.10
'Marruecos',77.21
'Venezuela',72.30
'Cuba',78.16
'Macedonia del Norte',75
'Ecuador',77.89
'Republica Dominicada',74.17
'San Vicente y las Granadinas',70
'Bosnia y Herzagovina',76.20
'Alemania',80.7
'Irlanda',82.6
'Suecia',83.1
'Dinamarca',81.3
'Noruega',82.5
'Suiza',83.7